event_index,event_id,event_title,group,item_index,item_id,field,current_text,new_text,notes
1,team-message,被忽略的消息,event,,team-message,title,被忽略的消息,,事件标题
1,team-message,被忽略的消息,event,,team-message,text,你在小组频道里提出一个方案，过了半小时没有人回应。几分钟后，另一个人发了相似的想法，大家开始讨论。,,事件正文
1,team-message,被忽略的消息,firstReactions,1,stay-quiet-and-observe,text,先不说话，看看大家到底会不会接这个话题。,,第一反应选项，玩家可见
1,team-message,被忽略的消息,firstReactions,1,stay-quiet-and-observe,tone,观察,,内部倾向，可改但不会直接显示
1,team-message,被忽略的消息,firstReactions,2,maybe-i-was-unclear,text,有点尴尬，怀疑是不是自己表达得不够清楚。,,第一反应选项，玩家可见
1,team-message,被忽略的消息,firstReactions,2,maybe-i-was-unclear,tone,自疑,,内部倾向，可改但不会直接显示
1,team-message,被忽略的消息,firstReactions,3,why-him-not-me,text,不是，凭什么他说就有人回？,,第一反应选项，玩家可见
1,team-message,被忽略的消息,firstReactions,3,why-him-not-me,tone,反击,,内部倾向，可改但不会直接显示
1,team-message,被忽略的消息,firstReactions,4,maybe-they-missed-it,text,算了，也许大家刚才只是没看到。,,第一反应选项，玩家可见
1,team-message,被忽略的消息,firstReactions,4,maybe-they-missed-it,tone,缓和,,内部倾向，可改但不会直接显示
1,team-message,被忽略的消息,attentionHooks,1,tone,label,语气,,注意力标题/标签
1,team-message,被忽略的消息,attentionHooks,1,tone,text,频道里没有明确拒绝，但沉默本身带着冷淡感。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,1,tone,description,频道里没有明确拒绝，但沉默本身带着冷淡感。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,1,tone,type,tone,,注意力统计类型
1,team-message,被忽略的消息,attentionHooks,2,power-relation,label,权力关系,,注意力标题/标签
1,team-message,被忽略的消息,attentionHooks,2,power-relation,text,谁的想法更容易被接住，透露出群体里的位置差异。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,2,power-relation,description,谁的想法更容易被接住，透露出群体里的位置差异。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,2,power-relation,type,power-relation,,注意力统计类型
1,team-message,被忽略的消息,attentionHooks,3,literal-meaning,label,字面含义,,注意力标题/标签
1,team-message,被忽略的消息,attentionHooks,3,literal-meaning,text,大家只是开始讨论一个相似方案，未必在针对你。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,3,literal-meaning,description,大家只是开始讨论一个相似方案，未必在针对你。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,3,literal-meaning,type,literal,,注意力统计类型
1,team-message,被忽略的消息,attentionHooks,4,hidden-belittling,label,隐含贬低,,注意力标题/标签
1,team-message,被忽略的消息,attentionHooks,4,hidden-belittling,text,同样的想法换个人说才被回应，可能让人感到被压低。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,4,hidden-belittling,description,同样的想法换个人说才被回应，可能让人感到被压低。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,4,hidden-belittling,type,hidden-belittling,,注意力统计类型
1,team-message,被忽略的消息,attentionHooks,5,social-risk,label,社交风险,,注意力标题/标签
